epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,6769.56,1.04834,0.61758,0.00668,0.92199,0.8175,0.89721,0.54467,1.42388,0.72127,0.01148,0.0007064,0.0007064,0.0007064
100,6840.82,1.05883,0.61143,0.00669,0.92522,0.82202,0.89815,0.54809,1.41808,0.72155,0.01138,0.0006932,0.0006932,0.0006932
101,6911.31,1.05385,0.61712,0.00679,0.92859,0.82269,0.9026,0.55182,1.40943,0.71087,0.01125,0.00068,0.00068,0.00068
102,6984.69,1.04335,0.60743,0.00676,0.9237,0.82159,0.8966,0.54788,1.41561,0.72085,0.01128,0.0006668,0.0006668,0.0006668
103,7050.76,1.03659,0.60192,0.00667,0.90654,0.83043,0.89625,0.54721,1.4206,0.72524,0.01138,0.0006536,0.0006536,0.0006536
104,7121.31,1.039,0.59734,0.00661,0.92248,0.81864,0.8976,0.5469,1.41814,0.72132,0.01132,0.0006404,0.0006404,0.0006404
105,7188.12,1.04149,0.595,0.00652,0.93056,0.82518,0.89683,0.54674,1.4133,0.70957,0.01129,0.0006272,0.0006272,0.0006272
106,7260.61,1.0349,0.59227,0.00677,0.92764,0.82497,0.89671,0.54813,1.41756,0.71792,0.01121,0.000614,0.000614,0.000614
107,7337.85,1.03202,0.58369,0.00673,0.91894,0.83551,0.90127,0.54873,1.4208,0.69298,0.01133,0.0006008,0.0006008,0.0006008
108,7404.61,1.01912,0.58015,0.00645,0.92636,0.82202,0.90196,0.55048,1.41997,0.69036,0.01127,0.0005876,0.0005876,0.0005876
109,7471.15,1.02381,0.57837,0.0064,0.9124,0.83028,0.89237,0.54338,1.41659,0.7276,0.01124,0.0005744,0.0005744,0.0005744
110,7538.17,1.02296,0.58613,0.0066,0.90851,0.82929,0.8993,0.54696,1.4196,0.72504,0.01123,0.0005612,0.0005612,0.0005612
